"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"57","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,2,0.497613365155131,0.330151153540175,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"58","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,4,0.497016706443914,0.329355608591885,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"59","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,8,0.495226730310263,0.326968973747017,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"60","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,16,0.491646778042959,0.322195704057279,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"61","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,32,0.486276849642005,0.315035799522673,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"62","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,64,0.486276849642005,0.315035799522673,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"63","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,128,0.48508353221957,0.313444709626094,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"64","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,256,0.489260143198091,0.319013524264121,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"65","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,512,0.489260143198091,0.319013524264121,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
"66","Phase ~ VH2","svmRadial",1676,716,1,"noProc",1,1024,0.488663484486874,0.318217979315831,0.491620111731844,0.322160148975791,0.4544025793304,0.528906948703283,0.25,5.59287350205574e-44,2.09074532028949e-27,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.886405959031657,0.947858472998138,0.839851024208566,0.64804469273743,0.45045045045045,0.782945736434109,0.367647058823529,0.444117647058824,0.786776859504132,0.867120954003407,0.777586206896552,0.925531914893617,0.45045045045045,0.782945736434108,0.367647058823529,0.444117647058824,0.279329608938547,0.564245810055866,0.279329608938547,0.843575418994413,0.344827586206897,0.655844155844156,0.317460317460317,0.581888246628131,0.25,0.25,0.25,0.25,0.0698324022346369,0.141061452513966,0.0698324022346369,0.210893854748603,0.155027932960894,0.180167597765363,0.189944134078212,0.474860335195531,0.582867783985102,0.756052141527002,0.559590316573557,0.745810055865922
