"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"44","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.0009765625,1024,0.880952380952381,0.838637382339758,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"45","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,1,0.793650793650794,0.717683557394002,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"46","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,2,0.80952380952381,0.739714236529523,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"47","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,4,0.873015873015873,0.827356612216061,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"48","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,8,0.900793650793651,0.865640128814861,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"49","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,16,0.892857142857143,0.854863481228669,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"50","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,32,0.900793650793651,0.865837556965799,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"51","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,64,0.896825396825397,0.860497796325079,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"52","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,128,0.892857142857143,0.855203234730794,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"53","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,256,0.884920634920635,0.844599910689604,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"54","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,512,0.876984126984127,0.833801378606076,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"55","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",0.03125,1024,0.880952380952381,0.839289130758275,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"56","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,1,0.682539682539683,0.556035147217512,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"57","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,2,0.694444444444444,0.573500967117988,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"58","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,4,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"59","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,8,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"60","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,16,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"61","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,32,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"62","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,64,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"63","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,128,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"64","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,256,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"65","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,512,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
"66","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN","svmRadial",252,106,20,"noProc",1,1024,0.69047619047619,0.568180320305806,0.877358490566038,0.833393785515657,0.799412888281875,0.933054112246807,0.311320754716981,9.82215105718548e-34,NA,1,0.791666666666667,0.931034482758621,0.7,0.958904109589041,0.98780487804878,0.922077922077922,0.965116279069767,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.941860465116279,0.972602739726027,0.932584269662921,0.916666666666667,0.95,0.818181818181818,0.823529411764706,1,0.791666666666667,0.931034482758621,0.7,0.956521739130435,0.863636363636364,0.870967741935484,0.756756756756757,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.179245283018868,0.254716981132075,0.132075471698113,0.339622641509434,0.188679245283019,0.311320754716981,0.160377358490566,0.97945205479452,0.889735772357723,0.926556202418271,0.832558139534884
