"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"45","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,1,0.781746031746032,0.701511823232976,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"46","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,2,0.785714285714286,0.707260406582769,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"47","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,4,0.857142857142857,0.805963126149634,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"48","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,8,0.869047619047619,0.822258319618698,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"49","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,16,0.873015873015873,0.827865178133071,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"50","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,32,0.880952380952381,0.838909013424249,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"51","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,64,0.888888888888889,0.849808429118774,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"52","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,128,0.892857142857143,0.855089131684876,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"53","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,256,0.892857142857143,0.855427830780018,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"54","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,512,0.896825396825397,0.860672819291456,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"55","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",0.03125,1024,0.873015873015873,0.828571428571429,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"56","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,1,0.801587301587302,0.727095516569201,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"57","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,2,0.805555555555556,0.733269970190521,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"58","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,4,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"59","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,8,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"60","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,16,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"61","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,32,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"62","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,64,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"63","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,128,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"64","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,256,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"65","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,512,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
"66","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07","svmRadial",252,106,17,"noProc",1,1024,0.793650793650794,0.717025136045608,0.858490566037736,0.807808533784601,0.777362781133258,0.918580850935111,0.311320754716981,1.98173926355224e-31,0.501824925498011,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.931506849315068,0.963414634146341,0.935064935064935,0.976744186046512,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.985507246376812,0.951807228915663,0.947368421052632,0.933333333333333,0.864864864864865,0.869565217391304,0.833333333333333,0.875,0.96969696969697,0.833333333333333,0.862068965517241,0.7,0.914285714285714,0.851063829787234,0.847457627118644,0.777777777777778,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.188679245283019,0.235849056603774,0.132075471698113,0.349056603773585,0.216981132075472,0.283018867924528,0.150943396226415,0.950601909506019,0.898373983739837,0.898566950291088,0.838372093023256
