"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"31","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",3.0517578125e-05,256,0.777777777777778,0.695579955562267,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"32","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",3.0517578125e-05,512,0.801587301587302,0.728950651809147,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"33","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",3.0517578125e-05,1024,0.80952380952381,0.740328882400927,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"34","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,1,0.638888888888889,0.492722205017033,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"35","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,2,0.662698412698413,0.527381845461365,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"36","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,4,0.734126984126984,0.634252539912917,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"37","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,8,0.785714285714286,0.706452100006472,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"38","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,16,0.785714285714286,0.707468076873468,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"39","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,32,0.801587301587302,0.72972393230228,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"40","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,64,0.80952380952381,0.741101431904283,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"41","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,128,0.813492063492063,0.746543976032527,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"42","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,256,0.841269841269841,0.784955412382131,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"43","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,512,0.845238095238095,0.790621870938878,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"44","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.0009765625,1024,0.857142857142857,0.806958187041175,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"45","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.03125,1,0.801587301587302,0.729747120519915,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"46","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.03125,2,0.805555555555556,0.736012827365045,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"47","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.03125,4,0.837301587301587,0.779579297691684,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"48","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.03125,8,0.837301587301587,0.779710886529359,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"49","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.03125,16,0.845238095238095,0.790644171779141,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
"50","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1","svmRadial",252,106,30,"noProc",0.03125,32,0.837301587301587,0.780062583817613,0.820754716981132,0.755967526959893,0.734324541427857,0.88849409221582,0.311320754716981,3.35805190641825e-27,NA,1,0.708333333333333,0.862068965517241,0.6,0.958904109589041,0.963414634146341,0.87012987012987,0.965116279069767,0.916666666666667,0.85,0.714285714285714,0.8,1,0.918604651162791,0.943661971830986,0.912087912087912,0.916666666666667,0.85,0.714285714285714,0.8,1,0.708333333333333,0.862068965517241,0.6,0.956521739130435,0.772727272727273,0.78125,0.685714285714286,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.311320754716981,0.160377358490566,0.235849056603774,0.113207547169811,0.339622641509434,0.188679245283019,0.330188679245283,0.141509433962264,0.97945205479452,0.835873983739837,0.866099417823556,0.782558139534884
